offset along full diagonal, aAV
0.0778268, 0.5
0.0780578, 0.5
0.0782887, 0.5
0.0785196, 0.5
0.0787506, 0.5
0.0789815, 0.5
0.0792125, 0.5
0.0794434, 0.5
0.0796743, 0.5
0.0799053, 0.5
0.0801362, 0.5
0.0803672, 0.5
0.0805981, 0.5
0.080829, 0.5
0.08106, 0.5
0.0812909, 0.5
0.0815219, 0.5
0.0817528, 0.5
0.0819837, 0.5
0.0822147, 0.5
0.0824456, 0.5
0.0826766, 0.5
0.0829075, 0.5
0.0831384, 0.5
0.0833694, 0.5
0.0836003, 0.5
0.0838313, 0.5
0.0840622, 0.5
0.0842931, 0.5
0.0845241, 0.5
0.084755, 0.5
0.084986, 0.5
0.0852169, 0.5
0.0854478, 0.5
0.0856788, 0.5
0.0859097, 0.5
0.0861407, 0.5
0.0863716, 0.5
0.0866025, 0.5
0.0868335, 0.5
0.0870644, 0.5
0.0872954, 0.5
0.0875263, 0.5
0.0877572, 0.5
0.0879882, 0.5
0.0882191, 0.5
0.0884501, 0.5
0.088681, 0.5
0.0889119, 0.5
0.0891429, 0.5
0.0893738, 0.5
0.0896048, 0.5
0.0898357, 0.5
0.0900666, 0.5
0.0902976, 0.5
0.0905285, 0.5
0.0907595, 0.5
0.0909904, 0.5
0.0912213, 0.5
0.0914523, 0.5
0.0916832, 0.5
0.0919142, 0.5
0.0921451, 0.5
0.092376, 0.5
0.092607, 0.5
0.0928379, 0.5
0.0930689, 0.5
0.0932998, 0.5
0.0935307, 0.5
0.0937617, 0.5
0.0939926, 0.5
0.0942236, 0.5
0.0944545, 0.5
0.0946854, 0.5
0.0949164, 0.5
0.0951473, 0.5
0.0953783, 0.5
0.0956092, 0.5
0.0958401, 0.5
0.0960711, 0.5
0.096302, 0.5
0.096533, 0.5
0.0967639, 0.5
0.0969948, 0.5
0.0972258, 0.5
0.0974567, 0.5
0.0976877, 0.5
0.0979186, 0.5
0.0981495, 0.5
0.0983805, 0.5
0.0986114, 0.5
0.0988424, 0.5
0.0990733, 0.5
0.0993042, 0.5
0.0995352, 0.5
0.0997661, 0.5
0.0999971, 0.5
0.100228, 0.5
0.100459, 0.5
0.10069, 0.5
0.100921, 0.5
0.101152, 0.5
0.101383, 0.5
0.101614, 0.5
0.101845, 0.5
0.102076, 0.5
0.102306, 0.5
0.102537, 0.5
0.102768, 0.5
0.102999, 0.5
0.10323, 0.5
0.103461, 0.5
0.103692, 0.5
0.103923, 0.5
0.104154, 0.5
0.104385, 0.5
0.104616, 0.5
0.104847, 0.5
0.105078, 0.5
0.105309, 0.5
0.10554, 0.5
0.105771, 0.5
0.106002, 0.5
0.106232, 0.5
0.106463, 0.5
0.106694, 0.5
0.106925, 0.5
0.107156, 0.5
0.107387, 0.5
0.107618, 0.5
0.107849, 0.5
0.10808, 0.5
0.108311, 0.5
0.108542, 0.5
0.108773, 0.5
0.109004, 0.5
0.109235, 0.5
0.109466, 0.5
0.109697, 0.5
0.109927, 0.5
0.110158, 0.5
0.110389, 0.5
0.11062, 0.5
0.110851, 0.5
0.111082, 0.5
0.111313, 0.5
0.111544, 0.5
0.111775, 0.5
0.112006, 0.5
0.112237, 0.5
0.112468, 0.5
0.112699, 0.5
