offset analytical, V
0.2605, 0.597135
0.260731, 0.59722
0.260962, 0.597305
0.261193, 0.597391
0.261424, 0.597476
0.261655, 0.597561
0.261886, 0.597646
0.262117, 0.597731
0.262348, 0.597816
0.262579, 0.597901
0.26281, 0.597986
0.263041, 0.598072
0.263272, 0.598157
0.263503, 0.598242
0.263734, 0.598327
0.263965, 0.598412
0.264195, 0.598497
0.264426, 0.598582
0.264657, 0.598667
0.264888, 0.598752
0.265119, 0.598837
0.26535, 0.598922
0.265581, 0.599008
0.265812, 0.599093
0.266043, 0.599178
0.266274, 0.599263
0.266505, 0.599348
0.266736, 0.599433
0.266967, 0.599518
0.267198, 0.599603
0.267429, 0.599688
0.26766, 0.599773
0.267891, 0.599858
0.268121, 0.599943
0.268352, 0.600028
0.268583, 0.600113
0.268814, 0.600198
0.269045, 0.600283
0.269276, 0.600368
0.269507, 0.600453
0.269738, 0.600538
0.269969, 0.600623
0.2702, 0.600709
0.270431, 0.600794
0.270662, 0.600879
0.270893, 0.600964
0.271124, 0.601049
0.271355, 0.601134
0.271586, 0.601219
0.271817, 0.601304
0.272047, 0.601389
0.272278, 0.601474
0.272509, 0.601559
0.27274, 0.601644
0.272971, 0.601729
0.273202, 0.601814
0.273433, 0.601899
0.273664, 0.601984
0.273895, 0.602069
0.274126, 0.602153
0.274357, 0.602238
0.274588, 0.602323
0.274819, 0.602408
0.27505, 0.602493
0.275281, 0.602578
0.275512, 0.602663
0.275742, 0.602748
0.275973, 0.602833
0.276204, 0.602918
0.276435, 0.603003
0.276666, 0.603088
0.276897, 0.603173
0.277128, 0.603258
0.277359, 0.603343
0.27759, 0.603428
0.277821, 0.603513
0.278052, 0.603598
0.278283, 0.603683
0.278514, 0.603768
0.278745, 0.603852
0.278976, 0.603937
0.279207, 0.604022
0.279438, 0.604107
0.279668, 0.604192
0.279899, 0.604277
0.28013, 0.604362
0.280361, 0.604447
0.280592, 0.604532
0.280823, 0.604617
0.281054, 0.604702
0.281285, 0.604786
0.281516, 0.604871
0.281747, 0.604956
0.281978, 0.605041
0.282209, 0.605126
0.28244, 0.605211
0.282671, 0.605296
0.282902, 0.605381
0.283133, 0.605465
0.283364, 0.60555
0.283594, 0.605635
0.283825, 0.60572
0.284056, 0.605805
0.284287, 0.60589
0.284518, 0.605975
0.284749, 0.606059
